n, n * root(n), n * n, n * log(n) 
426500,0.0015388414599914267,2.831747662110927E-4,0.07752389032900787
426750,0.0015091157106550805,2.4361643015959059E-4,0.0760452051649521
427000,0.0016476709280121946,2.3693375728358715E-4,0.08304764626034908
427250,0.0015092245611030063,-1.9685840845661874E-4,0.07608835677960132
427500,0.0015520846444454707,-2.2509217930222772E-4,0.07826852917472613
427750,0.0015076872138160117,-2.461525025676392E-4,0.07604845402398472
428000,0.0015316159759554996,-2.859841248949262E-4,0.07727452275888544
428250,0.0015074703860409571,-3.286337902948243E-4,0.07607509040669078
428500,0.0015115702995289679,-3.95754405349914E-4,0.07630082261155531
428750,0.0015447677520044009,-5.060259017772921E-4,0.07799579436139017
429000,0.0015164056834780734,-6.630783673008399E-4,0.07658266115630595
429250,0.0016120827217160345,-0.0010591984190461918,0.08143467563553802
429500,0.0015055162800169553,-0.001986325091309926,0.0760701793133681
429750,0.0015227670264048264,0.2920807313864916,0.07696075557782853
430000,0.0014988481576667142,0.001952947093880902,0.0757705274905898
430250,0.0015002703805349102,9.812992908789237E-4,0.07586106926176202
430500,0.0015304723991501168,6.685159005153823E-4,0.07740724623166687
430750,0.0015104283083754964,4.953891763494188E-4,0.07641222794049837
431000,0.0015175927298030898,3.9855810306624984E-4,0.0767935160363087
431250,0.0015045501225319426,3.295431484713383E-4,0.07615220514156683
431500,0.0015626225640369778,2.9358576119716684E-4,0.07911090666815235
431750,0.001503209803299413,2.472935473951279E-4,0.07612166108648385
432000,0.0015246212393517644,2.2309760911760237E-4,0.07722482782775329
432250,0.001495500033622609,-1.9873756994933517E-4,0.07576832307980783
432500,0.001484042960588002,-2.1958465343535375E-4,0.0752062486384
432750,0.001505554744748731,-2.512311669502945E-4,0.0763150422416288
433000,0.0014926339882932948,-2.855136467373088E-4,0.07567858570732948
433250,0.0015088403960418558,-3.3800510518109604E-4,0.07651895086948893
433500,0.0014794363686089457,-3.9974968584631564E-4,0.07504607061452861
433750,0.0015068938128937203,-5.127692160183E-4,0.07645752220224826
434000,0.0015374582470346846,-7.06083392718141E-4,0.07802732939740332
434250,0.0014828739345474102,-0.001046464968143756,0.07527546140783299
434500,0.0015064539759034625,-0.002291209462065269,0.07649107866251027
434750,0.0014826887111185788,0.01465511617408714,0.07530270217845403
435000,0.001504732250535595,0.0017517967612395858,0.07644083310741387
435250,0.0014917626398653708,9.231845633180701E-4,0.07580039200708566
435500,0.0015048521433744144,6.344388940213696E-4,0.07648407866267706
435750,0.0014812032945710734,4.7366236895424505E-4,0.0753004030892294
